QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,VariableName,IntMethod,StudyNote
USGALLUP.031609.R01,Don't know/No opinion,11,Do you approve or disapprove of the job Barack Obama is doing as president?,,,03/16/2009,Gallup Organization,,Gallup Poll,03/13/2009,03/15/2009,Y,National adult,1547,,Telephone Interview,"Interviews were conducted with respondents on landline telephones for respondents with a landline telephone, and cellular phones for respondents who are cell phone only."
USGALLUP.06JUL06.R01,Approve,40,Do you approve or disapprove of the way George W. Bush is handing his job as president?,,,07/11/2006,Gallup Organization,,Gallup Poll,07/6/2006,07/9/2006,Y,National adult,1007,,Telephone Interview,
USGALLUP.06JUL06.R01,Disapprove,55,Do you approve or disapprove of the way George W. Bush is handing his job as president?,,,07/11/2006,Gallup Organization,,Gallup Poll,07/6/2006,07/9/2006,Y,National adult,1007,,Telephone Interview,
USGALLUP.06JUL06.R01,No opinion,5,Do you approve or disapprove of the way George W. Bush is handing his job as president?,,,07/11/2006,Gallup Organization,,Gallup Poll,07/6/2006,07/9/2006,Y,National adult,1007,,Telephone Interview,
USGALLUP.020247.RK05,Approve,48,Do you approve or disapprove of the way Harry Truman is handling his job as President?,,,02/2/1947,Gallup Organization,,Gallup Poll,01/17/1947,01/22/1947,Y,National adult,2791,,Face-to-face interview,Sample size is approximate.
USGALLUP.020247.RK05,Disapprove,39,Do you approve or disapprove of the way Harry Truman is handling his job as President?,,,02/2/1947,Gallup Organization,,Gallup Poll,01/17/1947,01/22/1947,Y,National adult,2791,,Face-to-face interview,Sample size is approximate.
USGALLUP.020247.RK05,No opinion,13,Do you approve or disapprove of the way Harry Truman is handling his job as President?,,,02/2/1947,Gallup Organization,,Gallup Poll,01/17/1947,01/22/1947,Y,National adult,2791,,Face-to-face interview,Sample size is approximate.
USGALLUP.42-276.QKT12C,Approve,75,Do you approve or disapprove of the way Roosevelt is handling his job as President today?,,,09/1/1942,Gallup Organization,,Gallup Poll (AIPO),09/5/1942,09/10/1942,Y,National Adult,3025,,Face-to-face interview,Sample size is approximate.
USGALLUP.42-276.QKT12C,Disapprove,19,Do you approve or disapprove of the way Roosevelt is handling his job as President today?,,,09/1/1942,Gallup Organization,,Gallup Poll (AIPO),09/5/1942,09/10/1942,Y,National Adult,3025,,Face-to-face interview,Sample size is approximate.
USGALLUP.42-276.QKT12C,No opinion,6,Do you approve or disapprove of the way Roosevelt is handling his job as President today?,,,09/1/1942,Gallup Organization,,Gallup Poll (AIPO),09/5/1942,09/10/1942,Y,National Adult,3025,,Face-to-face interview,Sample size is approximate.
USGALLUP.42-266.QKT12C,Approve,79,"Do you approve or disapprove, of the way Roosevelt is handling his job as President today?",,,04/1/1942,Gallup Organization,,Gallup Poll (AIPO),04/17/1942,04/23/1942,Y,National Adult,2671,,Face-to-face interview,"Form K interviewed April 17-22, Form T April 18-23. Sample size is approximate."
USGALLUP.42-266.QKT12C,Disapprove,13,"Do you approve or disapprove, of the way Roosevelt is handling his job as President today?",,,04/1/1942,Gallup Organization,,Gallup Poll (AIPO),04/17/1942,04/23/1942,Y,National Adult,2671,,Face-to-face interview,"Form K interviewed April 17-22, Form T April 18-23. Sample size is approximate."
USGALLUP.42-266.QKT12C,No opinion,9,"Do you approve or disapprove, of the way Roosevelt is handling his job as President today?",,,04/1/1942,Gallup Organization,,Gallup Poll (AIPO),04/17/1942,04/23/1942,Y,National Adult,2671,,Face-to-face interview,"Form K interviewed April 17-22, Form T April 18-23. Sample size is approximate."
USGALLUP.051342.RK12C,Approve,78,Do you approve or disapprove of the way Franklin Roosevelt is handling his job as President?,,,04/1/1942,Gallup Organization,,Gallup Poll (AIPO),04/17/1942,04/23/1942,Y,National Adult,2671,,Face-to-face interview,"Form K interviewed April 17-22, Form T April 18-23. Sample size is approximate."
USGALLUP.051342.RK12C,Disapprove,13,Do you approve or disapprove of the way Franklin Roosevelt is handling his job as President?,,,04/1/1942,Gallup Organization,,Gallup Poll (AIPO),04/17/1942,04/23/1942,Y,National Adult,2671,,Face-to-face interview,"Form K interviewed April 17-22, Form T April 18-23. Sample size is approximate."
USGALLUP.051342.RK12C,No opinion,9,Do you approve or disapprove of the way Franklin Roosevelt is handling his job as President?,,,04/1/1942,Gallup Organization,,Gallup Poll (AIPO),04/17/1942,04/23/1942,Y,National Adult,2671,,Face-to-face interview,"Form K interviewed April 17-22, Form T April 18-23. Sample size is approximate."
USGALLUP.42-282.QKT21,Approve,70,Do you approve or disapprove of the way Roosevelt is handling his job as President today?,,,11/1/1942,Gallup Organization,,Gallup Poll (AIPO),10/29/1942,11/3/1942,Y,National Adult,2934,,Face-to-face interview,Sample size is approximate.
USGALLUP.42-282.QKT21,Disapprove,20,Do you approve or disapprove of the way Roosevelt is handling his job as President today?,,,11/1/1942,Gallup Organization,,Gallup Poll (AIPO),10/29/1942,11/3/1942,Y,National Adult,2934,,Face-to-face interview,Sample size is approximate.
USGALLUP.42-282.QKT21,No opinion,10,Do you approve or disapprove of the way Roosevelt is handling his job as President today?,,,11/1/1942,Gallup Organization,,Gallup Poll (AIPO),10/29/1942,11/3/1942,Y,National Adult,2934,,Face-to-face interview,Sample size is approximate.
USGALLUP.45-359.QKT14,Approve,75,Do you approve or disapprove of the way Truman is handling his job as President?,,,11/1/1945,Gallup Organization,,Gallup Poll (AIPO),11/2/1945,11/7/1945,Y,National Adult,3134,,Face-to-face interview,Sample size is approximate.
USGALLUP.45-359.QKT14,Disapprove,14,Do you approve or disapprove of the way Truman is handling his job as President?,,,11/1/1945,Gallup Organization,,Gallup Poll (AIPO),11/2/1945,11/7/1945,Y,National Adult,3134,,Face-to-face interview,Sample size is approximate.
USGALLUP.45-359.QKT14,No opinion,11,Do you approve or disapprove of the way Truman is handling his job as President?,,,11/1/1945,Gallup Organization,,Gallup Poll (AIPO),11/2/1945,11/7/1945,Y,National Adult,3134,,Face-to-face interview,Sample size is approximate.
USGALNEW.110783.R1,Approve,48,Do you approve or disapprove of the way Ronald Reagan is handing his job as president?,,,11/7/1983,Gallup Organization,Newsweek,Gallup/Newsweek Poll,10/26/1983,10/27/1983,Y,National Adult,759,,Telephone Interview,
USGALNEW.110783.R1,Disapprove,39,Do you approve or disapprove of the way Ronald Reagan is handing his job as president?,,,11/7/1983,Gallup Organization,Newsweek,Gallup/Newsweek Poll,10/26/1983,10/27/1983,Y,National Adult,759,,Telephone Interview,
USGALNEW.110783.R1,Don't know,13,Do you approve or disapprove of the way Ronald Reagan is handing his job as president?,,,11/7/1983,Gallup Organization,Newsweek,Gallup/Newsweek Poll,10/26/1983,10/27/1983,Y,National Adult,759,,Telephone Interview,
USGALLUP.033049.R02,Approve,57,Do you approve or disapprove of the way Harry Truman is handling his job as President?,,,03/30/1949,Gallup Organization,,Gallup Poll,03/6/1949,03/11/1949,Y,National Adult,3090,,Face-to-face interview,Sample size is approximate.
USGALLUP.033049.R02,Disapprove,24,Do you approve or disapprove of the way Harry Truman is handling his job as President?,,,03/30/1949,Gallup Organization,,Gallup Poll,03/6/1949,03/11/1949,Y,National Adult,3090,,Face-to-face interview,Sample size is approximate.
USGALLUP.033049.R02,No opinion,19,Do you approve or disapprove of the way Harry Truman is handling his job as President?,,,03/30/1949,Gallup Organization,,Gallup Poll,03/6/1949,03/11/1949,Y,National Adult,3090,,Face-to-face interview,Sample size is approximate.
USGALLUP.42-284.QT16C,Approve,72,Do you approve or disapprove of the way Roosevelt is handling his job as President today?,,Asked of Form T half sample.,12/1/1942,Gallup Organization,,Gallup Poll (AIPO),11/19/1942,11/26/1942,Y,National Adult,2862,,Face-to-face interview,Sample size is approximate.
USGALLUP.42-284.QT16C,Disapprove,19,Do you approve or disapprove of the way Roosevelt is handling his job as President today?,,Asked of Form T half sample.,12/1/1942,Gallup Organization,,Gallup Poll (AIPO),11/19/1942,11/26/1942,Y,National Adult,2862,,Face-to-face interview,Sample size is approximate.
USGALLUP.42-284.QT16C,No opinion,9,Do you approve or disapprove of the way Roosevelt is handling his job as President today?,,Asked of Form T half sample.,12/1/1942,Gallup Organization,,Gallup Poll (AIPO),11/19/1942,11/26/1942,Y,National Adult,2862,,Face-to-face interview,Sample size is approximate.
USGALLUP.43-308.QKT20C,Approve,66,Do you approve or disapprove of the way Roosevelt is handling his job as President today?,,,12/1/1943,Gallup Organization,,Gallup Poll (AIPO),12/17/1943,12/22/1943,Y,National Adult,3031,,Face-to-face interview,Sample size is approximate.
USGALLUP.43-308.QKT20C,Disapprove,24,Do you approve or disapprove of the way Roosevelt is handling his job as President today?,,,12/1/1943,Gallup Organization,,Gallup Poll (AIPO),12/17/1943,12/22/1943,Y,National Adult,3031,,Face-to-face interview,Sample size is approximate.
USGALLUP.43-308.QKT20C,No opinion,10,Do you approve or disapprove of the way Roosevelt is handling his job as President today?,,,12/1/1943,Gallup Organization,,Gallup Poll (AIPO),12/17/1943,12/22/1943,Y,National Adult,3031,,Face-to-face interview,Sample size is approximate.
USGALLUP.010847.RK03,Approve,35,Do you approve or disapprove of the way Harry Truman is handling his job as President?,,,01/8/1947,Gallup Organization,,Gallup Poll,12/13/1946,12/18/1946,Y,National Adult,3029,,Face-to-face interview,Sample size is approximate.
USGALLUP.010847.RK03,Disapprove,47,Do you approve or disapprove of the way Harry Truman is handling his job as President?,,,01/8/1947,Gallup Organization,,Gallup Poll,12/13/1946,12/18/1946,Y,National Adult,3029,,Face-to-face interview,Sample size is approximate.
USGALLUP.010847.RK03,No opinion,18,Do you approve or disapprove of the way Harry Truman is handling his job as President?,,,01/8/1947,Gallup Organization,,Gallup Poll,12/13/1946,12/18/1946,Y,National Adult,3029,,Face-to-face interview,Sample size is approximate.
USGALLUP.020146.RK10A,Approve,63,Do you approve or disapprove of the way Harry Truman is handling his job as President?,,,02/1/1946,Gallup Organization,,Gallup Poll,01/5/1946,01/10/1946,Y,National Adult,2783,,Face-to-face interview,Sample size is approximate.
USGALLUP.020146.RK10A,Disapprove,22,Do you approve or disapprove of the way Harry Truman is handling his job as President?,,,02/1/1946,Gallup Organization,,Gallup Poll,01/5/1946,01/10/1946,Y,National Adult,2783,,Face-to-face interview,Sample size is approximate.
USGALLUP.020146.RK10A,No opinion,15,Do you approve or disapprove of the way Harry Truman is handling his job as President?,,,02/1/1946,Gallup Organization,,Gallup Poll,01/5/1946,01/10/1946,Y,National Adult,2783,,Face-to-face interview,Sample size is approximate.
USGALLUP.47-408K.QK07A,Approve,54,DO YOU APPROVE OR DISAPPROVE OF THE WAY TRUMAN IS HANDLING HIS JOB AS PRESIDENT?,,,12/1/1947,Gallup Organization,,Gallup Poll (AIPO),11/28/1947,12/3/1947,Y,National adult,1482,,Face-to-face interview,Sample size is approximate.
USGALLUP.47-408K.QK07A,Disapprove,33,DO YOU APPROVE OR DISAPPROVE OF THE WAY TRUMAN IS HANDLING HIS JOB AS PRESIDENT?,,,12/1/1947,Gallup Organization,,Gallup Poll (AIPO),11/28/1947,12/3/1947,Y,National adult,1482,,Face-to-face interview,Sample size is approximate.
USGALLUP.47-408K.QK07A,No opinion,13,DO YOU APPROVE OR DISAPPROVE OF THE WAY TRUMAN IS HANDLING HIS JOB AS PRESIDENT?,,,12/1/1947,Gallup Organization,,Gallup Poll (AIPO),11/28/1947,12/3/1947,Y,National adult,1482,,Face-to-face interview,Sample size is approximate.
USGALLUP.101947.RK06A,Approve,55,Do you approve or disapprove of the way Harry Truman is handling his job as President?,,,10/19/1947,Gallup Organization,,Gallup Poll,09/12/1947,09/17/1947,Y,National adult,3056,,Face-to-face interview,Sample size is approximate.
USGALLUP.101947.RK06A,Disapprove,29,Do you approve or disapprove of the way Harry Truman is handling his job as President?,,,10/19/1947,Gallup Organization,,Gallup Poll,09/12/1947,09/17/1947,Y,National adult,3056,,Face-to-face interview,Sample size is approximate.
USGALLUP.101947.RK06A,No opinion,16,Do you approve or disapprove of the way Harry Truman is handling his job as President?,,,10/19/1947,Gallup Organization,,Gallup Poll,09/12/1947,09/17/1947,Y,National adult,3056,,Face-to-face interview,Sample size is approximate.
USGALLUP.47-400.QKT12,Approve,61,DO YOU APPROVE OR DISAPPROVE OF THE WAY TRUMAN IS HANDLING HIS JOB AS PRESIDENT?,,,07/1/1947,Gallup Organization,,Gallup Poll (AIPO),07/4/1947,07/9/1947,Y,National Adult,3027,Q12,Face-to-face interview,Sample size is approximate.
USGALLUP.47-400.QKT12,Disapprove,28,DO YOU APPROVE OR DISAPPROVE OF THE WAY TRUMAN IS HANDLING HIS JOB AS PRESIDENT?,,,07/1/1947,Gallup Organization,,Gallup Poll (AIPO),07/4/1947,07/9/1947,Y,National Adult,3027,Q12,Face-to-face interview,Sample size is approximate.
USGALLUP.47-400.QKT12,No opinion,12,DO YOU APPROVE OR DISAPPROVE OF THE WAY TRUMAN IS HANDLING HIS JOB AS PRESIDENT?,,,07/1/1947,Gallup Organization,,Gallup Poll (AIPO),07/4/1947,07/9/1947,Y,National Adult,3027,Q12,Face-to-face interview,Sample size is approximate.
USGALLUP.49441T.QT02A,Approve,52,Do you approve or disapprove of the way (Harry S.) Truman is handling his job as President?,,Asked of Form T half sample,05/1/1949,Gallup Organization,,Gallup Poll (AIPO),05/2/1949,05/7/1949,Y,National Adult,2592,,Face-to-face interview,Sample size is approximate.
USGALLUP.49441T.QT02A,Disapprove,32,Do you approve or disapprove of the way (Harry S.) Truman is handling his job as President?,,Asked of Form T half sample,05/1/1949,Gallup Organization,,Gallup Poll (AIPO),05/2/1949,05/7/1949,Y,National Adult,2592,,Face-to-face interview,Sample size is approximate.
USGALLUP.49441T.QT02A,No opinion,17,Do you approve or disapprove of the way (Harry S.) Truman is handling his job as President?,,Asked of Form T half sample,05/1/1949,Gallup Organization,,Gallup Poll (AIPO),05/2/1949,05/7/1949,Y,National Adult,2592,,Face-to-face interview,Sample size is approximate.
USGALLUP.420K.QK02A,Approve,39,Do you approve or disapprove of the way Truman is handling his job as President?,,,06/1/1948,Gallup Organization,,Gallup Poll (AIPO),06/19/1948,06/24/1948,Y,National adult,3154,,Face-to-face interview,Sample size is approximate.
USGALLUP.420K.QK02A,Disapprove,46,Do you approve or disapprove of the way Truman is handling his job as President?,,,06/1/1948,Gallup Organization,,Gallup Poll (AIPO),06/19/1948,06/24/1948,Y,National adult,3154,,Face-to-face interview,Sample size is approximate.
USGALLUP.420K.QK02A,No opinion,15,Do you approve or disapprove of the way Truman is handling his job as President?,,,06/1/1948,Gallup Organization,,Gallup Poll (AIPO),06/19/1948,06/24/1948,Y,National adult,3154,,Face-to-face interview,Sample size is approximate.
USGALLUP.47-397.QKT06,Approve,65,DO YOU APPROVE OR DISAPPROVE OF THE WAY (HARRY) TRUMAN IS HANDLING HIS JOB AS PRESIDENT?,,,05/1/1947,Gallup Organization,,Gallup Poll (AIPO),05/23/1947,05/28/1947,Y,National adult,3155,,Face-to-face interview,Sample size is approximate.
USGALLUP.47-397.QKT06,Disapprove,24,DO YOU APPROVE OR DISAPPROVE OF THE WAY (HARRY) TRUMAN IS HANDLING HIS JOB AS PRESIDENT?,,,05/1/1947,Gallup Organization,,Gallup Poll (AIPO),05/23/1947,05/28/1947,Y,National adult,3155,,Face-to-face interview,Sample size is approximate.
USGALLUP.47-397.QKT06,No opinion,11,DO YOU APPROVE OR DISAPPROVE OF THE WAY (HARRY) TRUMAN IS HANDLING HIS JOB AS PRESIDENT?,,,05/1/1947,Gallup Organization,,Gallup Poll (AIPO),05/23/1947,05/28/1947,Y,National adult,3155,,Face-to-face interview,Sample size is approximate.
USGALLUP.42-271.QK23A,Approve,79,Do you approve or disapprove of the way Roosevelt is handling his job as President today?,,Asked of Form K half sample.,07/1/1942,Gallup Organization,,Gallup Poll (AIPO),07/2/1942,07/8/1942,Y,National Adult,2940,,Face-to-face interview,Form K interviewed July 1-6 and Form T July 2-7. Sample size is approximate.
USGALLUP.42-271.QK23A,Disapprove,13,Do you approve or disapprove of the way Roosevelt is handling his job as President today?,,Asked of Form K half sample.,07/1/1942,Gallup Organization,,Gallup Poll (AIPO),07/2/1942,07/8/1942,Y,National Adult,2940,,Face-to-face interview,Form K interviewed July 1-6 and Form T July 2-7. Sample size is approximate.
USGALLUP.42-271.QK23A,No opinion,8,Do you approve or disapprove of the way Roosevelt is handling his job as President today?,,Asked of Form K half sample.,07/1/1942,Gallup Organization,,Gallup Poll (AIPO),07/2/1942,07/8/1942,Y,National Adult,2940,,Face-to-face interview,Form K interviewed July 1-6 and Form T July 2-7. Sample size is approximate.
USGALLUP.43-288.QKT15C,Approve,75,Do you approve or disapprove of the way Roosevelt is handling his job as President today?,,,02/1/1943,Gallup Organization,,Gallup Poll (AIPO),01/28/1943,02/3/1943,Y,National Adult,3095,,Face-to-face interview,Sample size is approximate.
USGALLUP.43-288.QKT15C,Disapprove,17,Do you approve or disapprove of the way Roosevelt is handling his job as President today?,,,02/1/1943,Gallup Organization,,Gallup Poll (AIPO),01/28/1943,02/3/1943,Y,National Adult,3095,,Face-to-face interview,Sample size is approximate.
USGALLUP.43-288.QKT15C,No opinion,8,Do you approve or disapprove of the way Roosevelt is handling his job as President today?,,,02/1/1943,Gallup Organization,,Gallup Poll (AIPO),01/28/1943,02/3/1943,Y,National Adult,3095,,Face-to-face interview,Sample size is approximate.
USGALLUP.032042.RK16C,Approve,78,In general do you approve or disapprove of the way Franklin Roosevelt is handling his job as President?,,,03/20/1942,Gallup Organization,,Gallup Poll,03/12/1942,03/17/1942,Y,National Adult,2986,,Face-to-face interview,Sample size is approximate.
USGALLUP.032042.RK16C,Disapprove,13,In general do you approve or disapprove of the way Franklin Roosevelt is handling his job as President?,,,03/20/1942,Gallup Organization,,Gallup Poll,03/12/1942,03/17/1942,Y,National Adult,2986,,Face-to-face interview,Sample size is approximate.
USGALLUP.032042.RK16C,No opinion,9,In general do you approve or disapprove of the way Franklin Roosevelt is handling his job as President?,,,03/20/1942,Gallup Organization,,Gallup Poll,03/12/1942,03/17/1942,Y,National Adult,2986,,Face-to-face interview,Sample size is approximate.
USGALLUP.47-393.QKT06,Approve,63,Do you approve or disapprove of the way (Harry) Truman is handling his job as President?,,,04/1/1947,Gallup Organization,,Gallup Poll (AIPO),03/28/1947,04/2/1947,Y,National Adult,3044,,Face-to-face interview,Sample size is approximate.
USGALLUP.47-393.QKT06,Disapprove,21,Do you approve or disapprove of the way (Harry) Truman is handling his job as President?,,,04/1/1947,Gallup Organization,,Gallup Poll (AIPO),03/28/1947,04/2/1947,Y,National Adult,3044,,Face-to-face interview,Sample size is approximate.
USGALLUP.47-393.QKT06,No opinion,16,Do you approve or disapprove of the way (Harry) Truman is handling his job as President?,,,04/1/1947,Gallup Organization,,Gallup Poll (AIPO),03/28/1947,04/2/1947,Y,National Adult,3044,,Face-to-face interview,Sample size is approximate.
USGALLUP.43-292.QKT18C,Approve,72,Do you approve or disapprove of the way Roosevelt is handling his job as President today?,,,04/1/1943,Gallup Organization,,Gallup Poll (AIPO),03/26/1943,03/31/1943,Y,National Adult,2993,,Face-to-face interview,Sample size is approximate.
USGALLUP.43-292.QKT18C,Disapprove,19,Do you approve or disapprove of the way Roosevelt is handling his job as President today?,,,04/1/1943,Gallup Organization,,Gallup Poll (AIPO),03/26/1943,03/31/1943,Y,National Adult,2993,,Face-to-face interview,Sample size is approximate.
USGALLUP.43-292.QKT18C,No opinion,9,Do you approve or disapprove of the way Roosevelt is handling his job as President today?,,,04/1/1943,Gallup Organization,,Gallup Poll (AIPO),03/26/1943,03/31/1943,Y,National Adult,2993,,Face-to-face interview,Sample size is approximate.
USGALLUP.42-271.QT23C,Approve,80,Do you approve or disapprove of the way Roosevelt is handling his job as President today?,,Asked of Form T half sample.,07/1/1942,Gallup Organization,,Gallup Poll (AIPO),07/2/1942,07/8/1942,Y,National Adult,2940,,Face-to-face interview,Form K interviewed July 1-6 and Form T July 2-7. Sample size is approximate.
USGALLUP.42-271.QT23C,Disapprove,11,Do you approve or disapprove of the way Roosevelt is handling his job as President today?,,Asked of Form T half sample.,07/1/1942,Gallup Organization,,Gallup Poll (AIPO),07/2/1942,07/8/1942,Y,National Adult,2940,,Face-to-face interview,Form K interviewed July 1-6 and Form T July 2-7. Sample size is approximate.
USGALLUP.42-271.QT23C,No opinion,8,Do you approve or disapprove of the way Roosevelt is handling his job as President today?,,Asked of Form T half sample.,07/1/1942,Gallup Organization,,Gallup Poll (AIPO),07/2/1942,07/8/1942,Y,National Adult,2940,,Face-to-face interview,Form K interviewed July 1-6 and Form T July 2-7. Sample size is approximate.
USGALLUP.012149.R12,Approve,69,Do you approve or disapprove of the way Harry Truman is handling his job as President?,,,01/21/1949,Gallup Organization,,Gallup Poll,01/7/1949,01/12/1949,Y,National adult,3138,,Face-to-face interview,Sample size is approximate.
USGALLUP.012149.R12,Disapprove,17,Do you approve or disapprove of the way Harry Truman is handling his job as President?,,,01/21/1949,Gallup Organization,,Gallup Poll,01/7/1949,01/12/1949,Y,National adult,3138,,Face-to-face interview,Sample size is approximate.
USGALLUP.012149.R12,No opinion,14,Do you approve or disapprove of the way Harry Truman is handling his job as President?,,,01/21/1949,Gallup Organization,,Gallup Poll,01/7/1949,01/12/1949,Y,National adult,3138,,Face-to-face interview,Sample size is approximate.
USGALLUP.061148.RK01A,Approve,39,Do you approve or disapprove of the way Harry Truman is handling his job as President?,,,06/11/1948,Gallup Organization,,Gallup Poll,05/28/1948,06/2/1948,Y,National Adult,3172,,Face-to-face interview,Sample size is approximate.
