year,var,efficacy,short_label,election,version,label_var,label_val,value
2008,V085152b,internal,UNDERSTAND,post,[VERSION D],How well do you understand the important political issues facing our country?,"-9. Refused; -8. Don't know; -2. No Post-election IW; -1. INAP, R selected for VERSION C; 1. Extremely well; 2. Very well; 3. Moderately well; 4. Slightly well; 5. Not well at all",-9; -8; -2; -1; 1; 2; 3; 4; 5
2008,V085152c,external,NOCARE,post,[VERSION D],How much do public officials care what people like you think?,"-9. Refused; -8. Don't know; -2. No Post-election IW; -1. INAP, R selected for VERSION C; 1. A great deal; 2. A lot; 3. A moderate amount; 4. A little; 5. Not at all",-9; -8; -2; -1; 1; 2; 3; 4; 5
2008,V085152d,external,NOSAY,post,[VERSION D],How much can people like you affect what the government does?,"-9. Refused; -8. Don't know; -2. No Post-election IW; -1. INAP, R selected for VERSION C; 1. A great deal; 2. A lot; 3. A moderate amount; 4. A little; 5. Not at all",-9; -8; -2; -1; 1; 2; 3; 4; 5
2008,V085153a,external,NOSAY,post,[OLD],Public officials don't care much what people like me think.,"-9. Refused; -8. Don't know; -2. No Post-election IW; -1. INAP, R selected for VERSION NEW; 1. Agree strongly; 2. Agree Somewhat; 3. Neither agree nor disagree; 4. Disagree Somewhat; 5. Disagree strongly",-8; -2; -1; 1; 2; 3; 4; 5
2008,V085153b,external,NOSAY,post,[NEW],Public officials don't care much about what people like me think.,"-9. Refused; -8. Don't know; -2. No Post-election IW; -1. INAP, R selected for VERSION OLD; 1. Agree strongly; 2. Agree Somewhat; 3. Neither agree nor disagree; 4. Disagree Somewhat; 5. Disagree strongly",-9; -8; -2; -1; 1; 2; 3; 4; 5
2012,effic_complicstd,internal,COMPLEX,pre,[STD],"Sometimes, politics and government seem so complicated that a person like me can't really understand what's going on.",-9. Refused; -8. Don't know; -1. Inapplicable; 1. Agree strongly; 2. Agree somewhat; 3. Neither agree nor disagree; 4. Disagree somewhat; 5. Disagree strongly,-9; -8; -1; 1; 2; 3; 4; 5
2012,effic_undstd,internal,UNDERSTAND,pre,[STD],I feel that I have a pretty good understanding of the important political issues facing our country.,-9. Refused; -8. Don't know; -1. Inapplicable; 1. Agree strongly; 2. Agree somewhat; 3. Neither agree nor disagree; 4. Disagree somewhat; 5. Disagree strongly,-9; -8; -1; 1; 2; 3; 4; 5
2012,effic_carestd,external,NOCARE,pre,[STD],Public officials don't care much what people like me think,-9. Refused; -8. Don't know; -1. Inapplicable; 1. Agree strongly; 2. Agree somewhat; 3. Neither agree nor disagree; 4. Disagree somewhat; 5. Disagree strongly,-9; -8; -1; 1; 2; 3; 4; 5
2012,effic_saystd,external,NOSAY,pre,[STD],People like me don't have any say about what the government does.,-9. Refused; -8. Don't know; -1. Inapplicable; 1. Agree strongly; 2. Agree somewhat; 3. Neither agree nor disagree; 4. Disagree somewhat; 5. Disagree strongly,-9; -8; -1; 1; 2; 3; 4; 5
2012,effic_complicrev,internal,COMPLEX,pre,[REV],How often do politics and government seem so complicated that you can't really understand what's going on?,-9. Refused; -8. Don't know; -1. Inapplicable; 1. Always; 2. Most of the time; 3. About half the time; 4. Some of the time; 5. Never,-9; -8; -1; 1; 2; 3; 4; 5
2012,effic_undrev,internal,UNDERSTAND,pre,[REV],How well do you understand the important political issues facing our country?,-9. Refused; -8. Don't know; -1. Inapplicable; 1. Extremely well; 2. Very well; 3. Moderately well; 4. Slightly well; 5. Not well at all,-9; -8; -1; 1; 2; 3; 4; 5
2012,effic_carerev,external,NOCARE,pre,[REV],How much do public officials care what people like you think?,-9. Refused; -8. Don't know; -1. Inapplicable; 1. A great deal; 2. A lot; 3. A moderate amount; 4. A little; 5. Not at all,-9; -8; -1; 1; 2; 3; 4; 5
2012,effic_sayrev,external,NOSAY,pre,[REV],How much can people like you affect what the government does?,-9. Refused; -8. Don't know; -1. Inapplicable; 1. A great deal; 2. A lot; 3. A moderate amount; 4. A little; 5. Not at all,-9; -8; -1; 1; 2; 3; 4; 5
2012,efficpo_complicstd,internal,COMPLEX,post,[STD],"Sometimes, politics and government seem so complicated that a person like me can't really understand what's going on.","-9. Refused; -8. Don't know; -7. Deleted due to partial (post-election) interview; -6. Not asked, unit nonresponse (no post-election interview); -1. Inapplicable; 1. Agree strongly; 2. Agree somewhat; 3. Neither agree nor disagree; 4. Disagree somewhat; 5. Disagree strongly",-9; -8; -7; -6; -1; 1; 2; 3; 4; 5
2012,efficpo_undstd,internal,UNDERSTAND,post,[STD],I feel that I have a pretty good understanding of the important political issues facing our country.,"-9. Refused; -8. Don't know; -7. Deleted due to partial (post-election) interview; -6. Not asked, unit nonresponse (no post-election interview); -1. Inapplicable; 1. Agree strongly; 2. Agree somewhat; 3. Neither agree nor disagree; 4. Disagree somewhat; 5. Disagree strongly",-9; -8; -7; -6; -1; 1; 2; 3; 4; 5
2012,efficpo_carestd,external,NOCARE,post,[STD],Public officials don't care much what people like me think,"-9. Refused; -8. Don't know; -7. Deleted due to partial (post-election) interview; -6. Not asked, unit nonresponse (no post-election interview); -1. Inapplicable; 1. Agree strongly; 2. Agree somewhat; 3. Neither agree nor disagree; 4. Disagree somewhat; 5. Disagree strongly",-9; -8; -7; -6; -1; 1; 2; 3; 4; 5
2012,efficpo_saystd,external,NOSAY,post,[STD],People like me don't have any say about what the government does.,"-9. Refused; -8. Don't know; -7. Deleted due to partial (post-election) interview; -6. Not asked, unit nonresponse (no post-election interview); -1. Inapplicable; 1. Agree strongly; 2. Agree somewhat; 3. Neither agree nor disagree; 4. Disagree somewhat; 5. Disagree strongly",-9; -8; -7; -6; -1; 1; 2; 3; 4; 5
2012,efficpo_complicrev,internal,COMPLEX,post,[REV],How often do politics and government seem so complicated that you can't really understand what's going on?,"-9. Refused; -8. Don't know; -7. Deleted due to partial (post-election) interview; -6. Not asked, unit nonresponse (no post-election interview); -1. Inapplicable; 1. Always; 2. Most of the time; 3. About half the time; 4. Some of the time; 5. Never",-9; -8; -7; -6; -1; 1; 2; 3; 4; 5
2012,efficpo_undrev,internal,UNDERSTAND,post,[REV],How well do you understand the important political issues facing our country?,"-9. Refused; -8. Don't know; -7. Deleted due to partial (post-election) interview; -6. Not asked, unit nonresponse (no post-election interview); -1. Inapplicable; 1. Extremely well; 2. Very well; 3. Moderately well; 4. Slightly well; 5. Not well at all",-9; -8; -7; -6; -1; 1; 2; 3; 4; 5
2012,efficpo_carerev,external,NOCARE,post,[REV],How much do public officials care what people like you think?,"-9. Refused; -8. Don't know; -7. Deleted due to partial (post-election) interview; -6. Not asked, unit nonresponse (no post-election interview); -1. Inapplicable; 1. A great deal; 2. A lot; 3. A moderate amount; 4. A little; 5. Not at all",-9; -8; -7; -6; -1; 1; 2; 3; 4; 5
2012,efficpo_sayrev,external,NOSAY,post,[REV],How much can people like you affect what the government does?,"-9. Refused; -8. Don't know; -7. Deleted due to partial (post-election) interview; -6. Not asked, unit nonresponse (no post-election interview); -1. Inapplicable; 1. A great deal; 2. A lot; 3. A moderate amount; 4. A little; 5. Not at all",-9; -8; -7; -6; -1; 1; 2; 3; 4; 5
